time,proto,data_len,ip_src,ip_dst,src_port,dst_port
1551426575.173742,6,485,95.100.244.88,192.168.1.149,443,42420
1551426575.173745,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.174519,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.174524,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.174541,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.174543,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.174548,6,981,95.100.244.88,192.168.1.149,443,42420
1551426575.17455,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.174555,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.17456,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.175463,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.175468,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.175486,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.176007,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.176019,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.176033,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.176041,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.176045,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.176053,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.176603,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.176612,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.176629,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.176636,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.176638,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.177338,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.177344,6,1214,95.100.244.88,192.168.1.149,443,42426
1551426575.177358,6,1448,95.100.244.88,192.168.1.149,443,42426
1551426575.177361,6,1448,95.100.244.88,192.168.1.149,443,42426
1551426575.177364,6,1448,95.100.244.88,192.168.1.149,443,42426
1551426575.177743,6,1448,95.100.244.88,192.168.1.149,443,42426
1551426575.17775,6,1448,95.100.244.88,192.168.1.149,443,42426
1551426575.177765,6,1448,95.100.244.88,192.168.1.149,443,42426
1551426575.177942,6,205,95.100.244.88,192.168.1.149,443,42426
1551426575.177954,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.177962,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.178675,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.178718,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.178732,6,1448,95.100.244.88,192.168.1.149,443,42420
