=== PIE Network Simulation Events ===

00:00.005 - === Starting Packet Generation ===
00:00.006 - === Starting Packet Processing ===
00:04.814 - Generated Packet 154 (size: 1418 bytes)
00:04.846 - Packet 69 (size: 1448 bytes) processed
00:04.848 - Generated Packet 155 (size: 1418 bytes)
00:04.877 - Generated Packet 156 (size: 479 bytes)
00:04.908 - Generated Packet 157 (size: 38 bytes)
00:04.940 - Generated Packet 158 (size: 46 bytes)
00:04.971 - Generated Packet 159 (size: 46 bytes)
00:04.987 - Packet 71 (size: 1448 bytes) processed
00:05.003 - Generated Packet 160 (size: 189 bytes)
00:05.034 - Generated Packet 161 (size: 38 bytes)
00:05.065 - Generated Packet 162 (size: 39 bytes)
00:05.096 - Generated Packet 163 (size: 103 bytes)
00:05.128 - Generated Packet 164 (size: 325 bytes)
00:05.131 - Packet 73 (size: 1448 bytes) processed
00:05.160 - Generated Packet 165 (size: 149 bytes)
00:05.192 - Generated Packet 166 (size: 38 bytes)
00:05.224 - Generated Packet 167 (size: 46 bytes)
00:05.255 - Generated Packet 168 (size: 43 bytes)
00:05.270 - Packet 75 (size: 1448 bytes) processed
00:05.286 - Generated Packet 169 (size: 46 bytes)
00:05.317 - Generated Packet 170 (size: 307 bytes)
00:05.348 - Generated Packet 171 (size: 101 bytes)
00:05.379 - Generated Packet 172 (size: 38 bytes)
00:05.411 - Packet 77 (size: 1448 bytes) processed
00:05.413 - Generated Packet 173 (size: 46 bytes)
00:05.443 - Generated Packet 174 (size: 46 bytes)
00:05.474 - Generated Packet 175 (size: 180 bytes)
00:05.505 - Generated Packet 176 (size: 149 bytes)
00:05.537 - Generated Packet 177 (size: 38 bytes)
00:05.553 - Packet 79 (size: 1448 bytes) processed
00:05.569 - Generated Packet 178 (size: 46 bytes)
00:05.601 - Generated Packet 179 (size: 46 bytes)
00:05.631 - Generated Packet 180 (size: 31 bytes)
00:05.702 - Generated Packet 181 (size: 35 bytes)
00:05.713 - Packet 81 (size: 1448 bytes) processed
00:05.749 - Generated Packet 182 (size: 195 bytes)
00:05.773 - Generated Packet 183 (size: 38 bytes)
00:05.804 - Generated Packet 184 (size: 149 bytes)
00:05.834 - Generated Packet 185 (size: 38 bytes)
00:05.850 - Packet 83 (size: 1448 bytes) processed
00:05.865 - Generated Packet 186 (size: 46 bytes)
00:05.897 - Generated Packet 187 (size: 46 bytes)
00:05.928 - Generated Packet 188 (size: 31 bytes)
00:05.960 - Generated Packet 189 (size: 31 bytes)
00:05.990 - Packet 85 (size: 1448 bytes) processed
00:05.993 - Generated Packet 190 (size: 179 bytes)
00:06.021 - Generated Packet 191 (size: 38 bytes)
00:06.053 - Generated Packet 192 (size: 149 bytes)
00:06.084 - Generated Packet 193 (size: 38 bytes)
00:06.115 - Generated Packet 194 (size: 46 bytes)
00:06.131 - Packet 87 (size: 1448 bytes) processed
00:06.146 - Generated Packet 195 (size: 46 bytes)
00:06.177 - Generated Packet 196 (size: 177 bytes)
00:06.209 - Generated Packet 197 (size: 38 bytes)
00:06.240 - Generated Packet 198 (size: 149 bytes)
00:06.271 - Generated Packet 199 (size: 38 bytes)
00:06.273 - Packet 89 (size: 1448 bytes) processed
00:06.302 - Generated Packet 200 (size: 46 bytes)
00:06.334 - Generated Packet 201 (size: 46 bytes)
00:06.365 - Generated Packet 202 (size: 215 bytes)
00:06.396 - Generated Packet 203 (size: 81 bytes)
00:06.412 - Packet 91 (size: 1448 bytes) processed
00:06.428 - Generated Packet 204 (size: 186 bytes)
00:06.459 - Generated Packet 205 (size: 39 bytes)
00:06.489 - Generated Packet 206 (size: 38 bytes)
00:06.521 - Generated Packet 207 (size: 46 bytes)
00:06.552 - Packet 93 (size: 1448 bytes) processed
00:06.554 - Generated Packet 208 (size: 46 bytes)
00:06.583 - Generated Packet 209 (size: 215 bytes)
00:06.615 - Generated Packet 210 (size: 81 bytes)
00:06.646 - Generated Packet 211 (size: 189 bytes)
00:06.677 - Generated Packet 212 (size: 39 bytes)
00:06.693 - Packet 95 (size: 1448 bytes) processed
00:06.709 - Generated Packet 213 (size: 38 bytes)
00:06.740 - Generated Packet 214 (size: 46 bytes)
00:06.771 - Generated Packet 215 (size: 46 bytes)
00:06.803 - Generated Packet 216 (size: 216 bytes)
00:06.834 - Packet 97 (size: 1448 bytes) processed
00:06.835 - Generated Packet 217 (size: 81 bytes)
00:06.866 - Generated Packet 218 (size: 188 bytes)
00:06.897 - Generated Packet 219 (size: 39 bytes)
00:06.929 - Generated Packet 220 (size: 38 bytes)
00:06.961 - Generated Packet 221 (size: 46 bytes)
00:06.976 - Packet 99 (size: 115 bytes) processed
00:06.992 - Generated Packet 222 (size: 46 bytes)
00:07.023 - Generated Packet 223 (size: 217 bytes)
00:07.054 - Generated Packet 224 (size: 103 bytes)
00:07.085 - Generated Packet 225 (size: 188 bytes)
00:07.100 - Packet 101 (size: 44 bytes) processed
00:07.116 - Generated Packet 226 (size: 39 bytes)
00:07.148 - Generated Packet 227 (size: 38 bytes)
00:07.179 - Generated Packet 228 (size: 46 bytes)
00:07.211 - Generated Packet 229 (size: 46 bytes)
00:07.226 - Packet 103 (size: 320 bytes) processed
00:07.241 - Generated Packet 230 (size: 255 bytes)
00:07.272 - Generated Packet 231 (size: 156 bytes)
00:07.304 - Generated Packet 232 (size: 1418 bytes)
00:07.335 - Generated Packet 233 (size: 1418 bytes)
00:07.351 - Packet 105 (size: 181 bytes) processed
00:07.367 - Generated Packet 234 (size: 1418 bytes)
00:07.397 - Generated Packet 235 (size: 1418 bytes)
00:07.428 - Generated Packet 236 (size: 1215 bytes)
00:07.460 - Generated Packet 237 (size: 122 bytes)
00:07.475 - Packet 107 (size: 345 bytes) processed
00:07.491 - Generated Packet 238 (size: 1418 bytes)
00:07.523 - Generated Packet 239 (size: 1418 bytes)
00:07.554 - Generated Packet 240 (size: 1418 bytes)
00:07.585 - Generated Packet 241 (size: 1418 bytes)
00:07.600 - Packet 109 (size: 38 bytes) processed
