packet_id,time,proto,data_len,ip_src,ip_dst,src_port,dst_port
18599,1551434203.282855,6,1448,130.206.193.108,192.168.1.149,443,41572
18600,1551434203.282861,6,1448,130.206.193.108,192.168.1.149,443,41572
18601,1551434203.282867,6,1448,130.206.193.108,192.168.1.149,443,41572
18602,1551434203.282873,6,1276,130.206.193.108,192.168.1.149,443,41572
18603,1551434203.282879,6,1448,130.206.193.108,192.168.1.149,443,41572
18604,1551434203.282886,6,1448,130.206.193.108,192.168.1.149,443,41572
18605,1551434203.282892,6,1448,130.206.193.108,192.168.1.149,443,41572
18606,1551434203.282898,6,1448,130.206.193.108,192.168.1.149,443,41572
18607,1551434203.282904,6,1448,130.206.193.108,192.168.1.149,443,41572
18608,1551434203.282911,6,1448,130.206.193.108,192.168.1.149,443,41572
18609,1551434203.282917,6,1448,130.206.193.108,192.168.1.149,443,41572
18610,1551434203.282923,6,1448,130.206.193.108,192.168.1.149,443,41572
18611,1551434203.284111,6,1448,130.206.193.108,192.168.1.149,443,41572
18612,1551434203.284123,6,1448,130.206.193.108,192.168.1.149,443,41572
18613,1551434203.28413,6,1448,130.206.193.108,192.168.1.149,443,41572
18614,1551434203.284136,6,1448,130.206.193.108,192.168.1.149,443,41572
18615,1551434203.284142,6,1448,130.206.193.108,192.168.1.149,443,41572
18616,1551434203.284148,6,1448,130.206.193.108,192.168.1.149,443,41572
18617,1551434203.284155,6,1448,130.206.193.108,192.168.1.149,443,41572
18618,1551434203.284161,6,1448,130.206.193.108,192.168.1.149,443,41572
18619,1551434203.284167,6,1448,130.206.193.108,192.168.1.149,443,41572
18620,1551434203.284173,6,1448,130.206.193.108,192.168.1.149,443,41572
18621,1551434203.28418,6,1448,130.206.193.108,192.168.1.149,443,41572
18622,1551434203.284186,6,1448,130.206.193.108,192.168.1.149,443,41572
18623,1551434203.285115,6,1448,130.206.193.108,192.168.1.149,443,41572
18624,1551434203.285128,6,1448,130.206.193.108,192.168.1.149,443,41572
18625,1551434203.285137,6,1448,130.206.193.108,192.168.1.149,443,41572
18626,1551434203.285145,6,1448,130.206.193.108,192.168.1.149,443,41572
18627,1551434203.285151,6,1448,130.206.193.108,192.168.1.149,443,41572
18628,1551434203.285157,6,664,130.206.193.108,192.168.1.149,443,41572
18629,1551434203.285163,6,1448,130.206.193.108,192.168.1.149,443,41572
18630,1551434203.285169,6,1448,130.206.193.108,192.168.1.149,443,41572
18631,1551434203.285175,6,1448,130.206.193.108,192.168.1.149,443,41572
18632,1551434203.285181,6,1448,130.206.193.108,192.168.1.149,443,41572
18633,1551434203.285187,6,1448,130.206.193.108,192.168.1.149,443,41572
18634,1551434203.285193,6,1448,130.206.193.108,192.168.1.149,443,41572
18635,1551434203.286164,6,1448,130.206.193.108,192.168.1.149,443,41572
18636,1551434203.286175,6,1448,130.206.193.108,192.168.1.149,443,41572
18637,1551434203.286182,6,1448,130.206.193.108,192.168.1.149,443,41572
18638,1551434203.286189,6,1448,130.206.193.108,192.168.1.149,443,41572
18639,1551434203.286197,6,1448,130.206.193.108,192.168.1.149,443,41572
18640,1551434203.286204,6,1448,130.206.193.108,192.168.1.149,443,41572
18641,1551434203.28621,6,1448,130.206.193.108,192.168.1.149,443,41572
18642,1551434203.286217,6,1448,130.206.193.108,192.168.1.149,443,41572
18643,1551434203.286591,6,1448,130.206.193.108,192.168.1.149,443,41572
18644,1551434203.286601,6,1448,130.206.193.108,192.168.1.149,443,41572
18645,1551434203.286607,6,1448,130.206.193.108,192.168.1.149,443,41572
18646,1551434203.286903,6,1028,130.206.193.108,192.168.1.149,443,41572
18647,1551434203.286914,6,1448,130.206.193.108,192.168.1.149,443,41572
18648,1551434203.286921,6,1448,130.206.193.108,192.168.1.149,443,41572
18649,1551434203.286927,6,1448,130.206.193.108,192.168.1.149,443,41572
18650,1551434203.286933,6,1448,130.206.193.108,192.168.1.149,443,41572
18651,1551434203.28776,6,1448,130.206.193.108,192.168.1.149,443,41572
18652,1551434203.287773,6,1448,130.206.193.108,192.168.1.149,443,41572
18653,1551434203.287779,6,1448,130.206.193.108,192.168.1.149,443,41572
18654,1551434203.287785,6,1448,130.206.193.108,192.168.1.149,443,41572
18655,1551434203.287791,6,1448,130.206.193.108,192.168.1.149,443,41572
18656,1551434203.287798,6,1448,130.206.193.108,192.168.1.149,443,41572
18657,1551434203.287803,6,1448,130.206.193.108,192.168.1.149,443,41572
18658,1551434203.288576,6,1448,130.206.193.108,192.168.1.149,443,41572
18659,1551434203.288587,6,1448,130.206.193.108,192.168.1.149,443,41572
18660,1551434203.288594,6,1448,130.206.193.108,192.168.1.149,443,41572
18661,1551434203.2886,6,1448,130.206.193.108,192.168.1.149,443,41572
18662,1551434203.288606,6,1448,130.206.193.108,192.168.1.149,443,41572
18663,1551434203.288612,6,1448,130.206.193.108,192.168.1.149,443,41572
18664,1551434203.288618,6,1448,130.206.193.108,192.168.1.149,443,41572
18665,1551434203.289235,6,1448,130.206.193.108,192.168.1.149,443,41572
18666,1551434203.289247,6,1448,130.206.193.108,192.168.1.149,443,41572
18667,1551434203.289253,6,1448,130.206.193.108,192.168.1.149,443,41572
18668,1551434203.289259,6,1448,130.206.193.108,192.168.1.149,443,41572
18669,1551434203.289594,6,1448,130.206.193.108,192.168.1.149,443,41572
18670,1551434203.289604,6,664,130.206.193.108,192.168.1.149,443,41572
18671,1551434203.289609,6,1448,130.206.193.108,192.168.1.149,443,41572
18672,1551434203.290601,6,1448,130.206.193.108,192.168.1.149,443,41572
18673,1551434203.290622,6,1448,130.206.193.108,192.168.1.149,443,41572
18674,1551434203.29063,6,1448,130.206.193.108,192.168.1.149,443,41572
18675,1551434203.290636,6,1448,130.206.193.108,192.168.1.149,443,41572
18676,1551434203.290642,6,1448,130.206.193.108,192.168.1.149,443,41572
18677,1551434203.290657,6,1448,130.206.193.108,192.168.1.149,443,41572
18678,1551434203.290668,6,1448,130.206.193.108,192.168.1.149,443,41572
18679,1551434203.29068,6,1448,130.206.193.108,192.168.1.149,443,41572
18680,1551434203.291832,6,1448,130.206.193.108,192.168.1.149,443,41572
18681,1551434203.29185,6,1448,130.206.193.108,192.168.1.149,443,41572
