packet_id,time,proto,data_len,ip_src,ip_dst,src_port,dst_port
117,1554879156.085497,6,38,145.142.25.160,192.168.1.149,443,40880
118,1554879156.177846,6,168,192.168.1.149,145.142.25.160,40880,443
119,1554879156.212952,6,149,145.142.25.160,192.168.1.149,443,40880
120,1554879156.213213,6,38,145.142.25.160,192.168.1.149,443,40880
121,1554879156.213309,6,46,145.142.25.160,192.168.1.149,443,40880
122,1554879156.21334,6,46,192.168.1.149,145.142.25.160,40880,443
123,1554879156.221942,6,362,192.168.1.149,135.245.24.244,43030,443
124,1554879156.260295,6,343,192.168.1.149,145.142.25.160,40880,443
125,1554879156.260533,6,38,192.168.1.149,145.142.25.160,40880,443
126,1554879156.301023,6,149,145.142.25.160,192.168.1.149,443,40880
127,1554879156.301294,6,38,145.142.25.160,192.168.1.149,443,40880
128,1554879156.301392,6,46,145.142.25.160,192.168.1.149,443,40880
129,1554879156.301497,6,46,192.168.1.149,145.142.25.160,40880,443
130,1554879156.306817,6,517,192.168.1.149,154.12.254.168,36384,443
131,1554879156.311876,17,47,192.168.1.149,192.168.1.1,43096,53
132,1554879156.311939,17,47,192.168.1.149,192.168.1.1,39202,53
133,1554879156.31202,17,49,192.168.1.149,192.168.1.1,53871,53
134,1554879156.312112,17,49,192.168.1.149,192.168.1.1,47611,53
135,1554879156.318658,17,377,192.168.1.1,192.168.1.149,53,53871
136,1554879156.318984,17,325,192.168.1.1,192.168.1.149,53,47611
137,1554879156.326396,6,161,192.168.1.149,145.142.25.160,40880,443
138,1554879156.332366,17,52,192.168.1.149,192.168.1.1,47682,53
139,1554879156.335709,17,108,192.168.1.1,192.168.1.149,53,39202
140,1554879156.339561,17,326,192.168.1.1,192.168.1.149,53,47682
141,1554879156.339906,6,1448,135.245.24.244,192.168.1.149,443,43030
142,1554879156.340019,6,887,135.245.24.244,192.168.1.149,443,43030
143,1554879156.340919,17,181,192.168.1.1,192.168.1.149,53,43096
144,1554879156.355281,6,1418,154.12.254.168,192.168.1.149,443,36384
145,1554879156.355322,6,1418,154.12.254.168,192.168.1.149,443,36384
146,1554879156.355532,6,573,154.12.254.168,192.168.1.149,443,36384
147,1554879156.357879,6,93,192.168.1.149,154.12.254.168,36384,443
148,1554879156.358149,6,177,192.168.1.149,154.12.254.168,36384,443
149,1554879156.369411,6,284,154.12.254.168,192.168.1.149,443,36384
150,1554879156.369696,6,69,154.12.254.168,192.168.1.149,443,36384
151,1554879156.369763,6,38,192.168.1.149,154.12.254.168,36384,443
152,1554879156.369788,6,38,154.12.254.168,192.168.1.149,443,36384
153,1554879156.375089,6,81,145.142.25.160,192.168.1.149,443,40880
154,1554879156.375303,6,1418,145.142.25.160,192.168.1.149,443,40880
155,1554879156.375571,6,1418,145.142.25.160,192.168.1.149,443,40880
156,1554879156.375682,6,479,145.142.25.160,192.168.1.149,443,40880
157,1554879156.376239,6,38,145.142.25.160,192.168.1.149,443,40880
158,1554879156.376255,6,46,145.142.25.160,192.168.1.149,443,40880
159,1554879156.376542,6,46,192.168.1.149,145.142.25.160,40880,443
160,1554879156.383329,6,189,192.168.1.149,145.142.25.160,40880,443
161,1554879156.383567,6,38,192.168.1.149,145.142.25.160,40880,443
162,1554879156.388461,17,39,192.168.1.149,192.168.1.1,58689,53
163,1554879156.390353,6,103,192.168.1.149,24.216.11.222,35826,443
164,1554879156.390913,17,325,192.168.1.1,192.168.1.149,53,58689
165,1554879156.421988,6,149,145.142.25.160,192.168.1.149,443,40880
166,1554879156.422262,6,38,145.142.25.160,192.168.1.149,443,40880
167,1554879156.422367,6,46,145.142.25.160,192.168.1.149,443,40880
168,1554879156.42255,17,43,192.168.1.149,192.168.1.1,33473,53
169,1554879156.422834,6,46,192.168.1.149,145.142.25.160,40880,443
170,1554879156.42422,17,307,192.168.1.1,192.168.1.149,53,33473
171,1554879156.436407,6,101,24.216.11.222,192.168.1.149,443,35826
172,1554879156.436692,6,38,24.216.11.222,192.168.1.149,443,35826
173,1554879156.436792,6,46,24.216.11.222,192.168.1.149,443,35826
174,1554879156.436827,6,46,192.168.1.149,24.216.11.222,35826,443
175,1554879156.456312,6,180,192.168.1.149,145.142.25.160,40880,443
176,1554879156.500776,6,149,145.142.25.160,192.168.1.149,443,40880
177,1554879156.5008,6,38,145.142.25.160,192.168.1.149,443,40880
178,1554879156.501026,6,46,145.142.25.160,192.168.1.149,443,40880
179,1554879156.501298,6,46,192.168.1.149,145.142.25.160,40880,443
180,1554879157.334901,6,31,64.240.130.52,192.168.1.149,443,49646
181,1554879157.335256,6,35,192.168.1.149,64.240.130.52,49646,443
182,1554879157.375612,6,195,192.168.1.149,145.142.25.160,40880,443
183,1554879157.375832,6,38,192.168.1.149,145.142.25.160,40880,443
184,1554879157.410488,6,149,145.142.25.160,192.168.1.149,443,40880
185,1554879157.410725,6,38,145.142.25.160,192.168.1.149,443,40880
186,1554879157.411299,6,46,145.142.25.160,192.168.1.149,443,40880
187,1554879157.411467,6,46,192.168.1.149,145.142.25.160,40880,443
188,1554879161.430763,6,31,135.245.24.244,192.168.1.149,443,43030
189,1554879161.430914,6,31,192.168.1.149,135.245.24.244,43030,443
190,1554879162.403007,6,179,192.168.1.149,145.142.25.160,40880,443
191,1554879162.403604,6,38,192.168.1.149,145.142.25.160,40880,443
192,1554879162.438517,6,149,145.142.25.160,192.168.1.149,443,40880
193,1554879162.43872,6,38,145.142.25.160,192.168.1.149,443,40880
194,1554879162.438827,6,46,145.142.25.160,192.168.1.149,443,40880
195,1554879162.438864,6,46,192.168.1.149,145.142.25.160,40880,443
196,1554879163.169727,6,177,192.168.1.149,145.142.25.160,40880,443
197,1554879163.170326,6,38,192.168.1.149,145.142.25.160,40880,443
198,1554879163.205205,6,149,145.142.25.160,192.168.1.149,443,40880
199,1554879163.205482,6,38,145.142.25.160,192.168.1.149,443,40880
200,1554879163.205562,6,46,145.142.25.160,192.168.1.149,443,40880
201,1554879163.205621,6,46,192.168.1.149,145.142.25.160,40880,443
202,1554879163.709257,6,215,192.168.1.149,145.142.25.160,40880,443
203,1554879163.776061,6,81,145.142.25.160,192.168.1.149,443,40880
204,1554879163.776092,6,186,145.142.25.160,192.168.1.149,443,40880
205,1554879163.778055,6,39,145.142.25.160,192.168.1.149,443,40880
